NU_ANO,TP_COR_RACA,Q025,SG_UF_PROVA,QTD
2019,0,A,AC,326
2019,0,A,AL,481
2019,0,A,AM,1063
2019,0,A,AP,324
2019,0,A,BA,2172
2019,0,A,CE,3409
2019,0,A,DF,325
2019,0,A,ES,211
2019,0,A,GO,772
2019,0,A,MA,1697
2019,0,A,MG,1388
2019,0,A,MS,295
2019,0,A,MT,416
2019,0,A,PA,2047
2019,0,A,PB,596
2019,0,A,PE,1340
2019,0,A,PI,867
2019,0,A,PR,426
2019,0,A,RJ,976
2019,0,A,RN,425
2019,0,A,RO,324
2019,0,A,RR,59
2019,0,A,RS,636
2019,0,A,SC,220
2019,0,A,SE,507
2019,0,A,SP,1475
2019,0,A,TO,254
2019,0,B,AC,391
2019,0,B,AL,1583
2019,0,B,AM,1390
2019,0,B,AP,425
2019,0,B,BA,7113
2019,0,B,CE,4809
2019,0,B,DF,2257
2019,0,B,ES,1395
2019,0,B,GO,4366
2019,0,B,MA,1875
2019,0,B,MG,9475
2019,0,B,MS,1003
2019,0,B,MT,1391
2019,0,B,PA,2283
2019,0,B,PB,2293
2019,0,B,PE,5318
2019,0,B,PI,1249
2019,0,B,PR,3270
2019,0,B,RJ,6827
2019,0,B,RN,1698
2019,0,B,RO,767
2019,0,B,RR,137
2019,0,B,RS,3846
2019,0,B,SC,2139
2019,0,B,SE,1223
2019,0,B,SP,11091
2019,0,B,TO,554
2019,1,A,AC,2160
2019,1,A,AL,3754
2019,1,A,AM,5330
2019,1,A,AP,2707
2019,1,A,BA,9736
2019,1,A,CE,12351
2019,1,A,DF,2726
2019,1,A,ES,3283
2019,1,A,GO,6380
2019,1,A,MA,14571
2019,1,A,MG,20000
2019,1,A,MS,4360
2019,1,A,MT,4081
2019,1,A,PA,15545
2019,1,A,PB,7082
2019,1,A,PE,11365
2019,1,A,PI,6452
2019,1,A,PR,12017
2019,1,A,RJ,11665
2019,1,A,RN,7013
2019,1,A,RO,2611
2019,1,A,RR,512
2019,1,A,RS,19603
2019,1,A,SC,4838
2019,1,A,SE,2533
2019,1,A,SP,33542
2019,1,A,TO,1969
2019,1,B,AC,3726
2019,1,B,AL,16031
2019,1,B,AM,11456
2019,1,B,AP,4116
2019,1,B,BA,49317
2019,1,B,CE,47853
2019,1,B,DF,27869
2019,1,B,ES,31497
2019,1,B,GO,48326
2019,1,B,MA,24800
2019,1,B,MG,182227
2019,1,B,MS,25147
2019,1,B,MT,22073
2019,1,B,PA,26723
2019,1,B,PB,34518
2019,1,B,PE,67035
2019,1,B,PI,14804
2019,1,B,PR,124965
2019,1,B,RJ,130549
2019,1,B,RN,35765
2019,1,B,RO,11107
2019,1,B,RR,1679
2019,1,B,RS,149119
2019,1,B,SC,77258
2019,1,B,SE,10064
2019,1,B,SP,418829
2019,1,B,TO,6711
2019,2,A,AC,2306
2019,2,A,AL,2965
2019,2,A,AM,2759
2019,2,A,AP,3019
2019,2,A,BA,29620
2019,2,A,CE,8040
2019,2,A,DF,2797
2019,2,A,ES,2913
2019,2,A,GO,4712
2019,2,A,MA,16293
2019,2,A,MG,16271
2019,2,A,MS,1468
2019,2,A,MT,3481
2019,2,A,PA,18134
2019,2,A,PB,3685
2019,2,A,PE,6948
2019,2,A,PI,8783
2019,2,A,PR,1642
2019,2,A,RJ,11744
2019,2,A,RN,3172
2019,2,A,RO,2006
2019,2,A,RR,347
2019,2,A,RS,3559
2019,2,A,SC,765
2019,2,A,SE,4421
2019,2,A,SP,13406
2019,2,A,TO,2976
2019,2,B,AC,1965
2019,2,B,AL,7254
2019,2,B,AM,3505
2019,2,B,AP,2679
2019,2,B,BA,82595
2019,2,B,CE,16345
2019,2,B,DF,11018
2019,2,B,ES,12224
2019,2,B,GO,14496
2019,2,B,MA,15620
2019,2,B,MG,58877
2019,2,B,MS,4077
2019,2,B,MT,8298
2019,2,B,PA,16086
2019,2,B,PB,10216
2019,2,B,PE,25840
2019,2,B,PI,9870
2019,2,B,PR,8743
2019,2,B,RJ,48624
2019,2,B,RN,8450
2019,2,B,RO,4451
2019,2,B,RR,601
2019,2,B,RS,11946
2019,2,B,SC,4319
2019,2,B,SE,8273
2019,2,B,SP,69472
2019,2,B,TO,4222
2019,3,A,AC,13419
2019,3,A,AL,15207
2019,3,A,AM,41646
2019,3,A,AP,14637
2019,3,A,BA,47948
2019,3,A,CE,70514
2019,3,A,DF,7712
2019,3,A,ES,7387
2019,3,A,GO,16825
2019,3,A,MA,68624
2019,3,A,MG,43067
2019,3,A,MS,7738
2019,3,A,MT,11837
2019,3,A,PA,99871
2019,3,A,PB,20399
2019,3,A,PE,30292
2019,3,A,PI,33233
2019,3,A,PR,7833
